Datum,Kalorien (kcal),Distanz (m),Durchschnittliche Herzfrequenz (bpm),Maximale Herzfrequenz (bpm),Minimale Herzfrequenz (bpm),Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Radfahren – Dauer (ms),Inaktiv – Dauer (ms),Gehen – Dauer (ms),Laufen – Dauer (ms),Leichter Schlaf – Dauer (ms),Tiefer Schlaf – Dauer (ms),Wachphase beim Schlafen – Dauer (ms)
2014-10-28,,,,,,,,,,,,,22,75.0,75.0,75.0,,16123401,,,,,
2014-10-29,,,,,,47.30434799194336,7.8801445960998535,47.30434799194336,7.8801445960998535,0.5,0.5,0.5,4816,,,,,77277187,2506454,,,,
2014-10-30,,,,,,47.304481506347656,7.880041122436523,47.304481506347656,7.880041122436523,0.55901700258255,0.55901700258255,0.55901700258255,2568,,,,,71967221,1024901,,,,
2014-10-31,,,,,,47.304473876953125,7.879864692687988,47.304473876953125,7.879864692687988,,,,4669,,,,,75567844,2481828,,,,
2014-11-01,,,,,,,,,,1.0097109079360962,1.1180340051651,0.9013878107070923,1429,,,,,82906405,550476,,,,
2014-11-02,,,,,,,,,,0.55901700258255,0.55901700258255,0.55901700258255,95,,,,,86197697,,,,,
2014-11-03,,,,,,46.94858169555664,7.4372172355651855,46.94858169555664,7.4372172355651855,,,,4749,,,,,78340144,2772040,,,,
2014-11-04,,,,,,46.94859313964844,7.436776638031006,47.304664611816406,7.895277976989746,1.0885255336761475,1.6770509481430054,0.5,4799,,,,,76628773,2480369,,,,
2014-11-05,,,,,,46.94831085205078,7.434605121612549,47.30446243286133,7.879955291748047,28.0,31.75,24.25,4806,,,,,77920414,2823247,,,,
2014-11-06,,,,,,47.213497161865234,7.759006023406982,47.35762405395508,8.058626174926758,18.549509048461914,32.0,5.099019527435303,6931,,,,,71731197,3769725,,,,
2014-11-07,,,,,,46.94672775268555,7.4346795082092285,46.94672775268555,7.4346795082092285,0.5,0.5,0.5,5433,,,,,74512596,3088238,,,,
2014-11-08,,,,,,,,,,,,,12609,,,,,69764458,6553370,,,,
2014-11-09,,,,,,47.304264068603516,7.879778861999512,47.304466247558594,7.880080223083496,2.150827646255493,4.366062164306641,0.55901700258255,400,,,,,85941247,137218,,,,
2014-11-10,,,,,,46.94740676879883,7.4350714683532715,47.30613327026367,7.880560398101807,,,,4217,,,,,78250131,2379080,,,,
2014-11-11,,,,,,46.947235107421875,7.435072898864746,47.30613708496094,7.880295753479004,,,,4637,,,,,72032386,2579674,,,,
2014-11-12,,,,,,46.919132232666016,7.412147521972656,47.30617904663086,7.881344795227051,2.6691346168518066,3.75,1.4142135381698608,4676,,,,,78413588,2708734,,,,
2014-11-13,,,,,,46.94760513305664,7.435075283050537,47.304466247558594,7.8801069259643555,,,,3036,,,,,78582514,1511471,,,,
2014-11-14,,,,,,46.94731903076172,7.435086727142334,47.32135009765625,7.975402355194092,,,,4423,,,,,77689368,2003259,,,,
2014-11-15,,,,,,47.261478424072266,7.793229579925537,47.32304000854492,7.9482421875,,,,3752,,,,,80411956,1517958,,,,
2014-11-16,,,,,,47.30424880981445,7.879934310913086,47.30432891845703,7.880066871643066,,,,117,,,,,86321314,,,,,
2014-11-17,,,,,,46.94730758666992,7.434986114501953,47.30659103393555,7.880549430847168,26.75,26.75,26.75,4222,,,,,78636868,2057662,,,,
2014-11-18,,,,,,46.94731521606445,7.435074806213379,47.31709671020508,7.946691036224365,,,,3938,,,,,76264018,1930691,141920,,,
2014-11-19,,,,,,46.94685363769531,7.434436798095703,47.31637191772461,7.942691326141357,0.8256939053535461,0.9013878107070923,0.75,4264,,,,,78245040,2741929,,,,
2014-11-20,,,,,,46.94728469848633,7.435038089752197,47.30613327026367,7.8801589012146,1.0,1.0,1.0,3535,,,,,77253742,2059503,,,,
2014-11-21,,,,,,46.92639923095703,7.435041427612305,47.31637954711914,7.94276762008667,,,,5325,,,,,78575515,3004868,,,,
2014-11-22,,,,,,47.236167907714844,7.787222862243652,47.349586486816406,7.9337992668151855,0.55901700258255,0.55901700258255,0.55901700258255,5276,,,,,75761404,2871548,,,,
2014-11-23,,,,,,47.30424880981445,7.879950046539307,47.30448532104492,7.880214214324951,,,,79,,,,,43408642,25479,,,,
2015-02-06,,1753.49560546875,,,,47.30427551269531,7.879965782165527,47.3050422668457,7.881485939025879,,,,28,,,,,12733945,,,,,
2015-02-07,,72800.3125,,,,47.304264068603516,7.879863739013672,47.565948486328125,8.085518836975098,,,,2586,,,,,75169590,336039,,,,
2015-02-08,,62018.1015625,,,,47.30426025390625,7.878077983856201,47.47943878173828,8.19833755493164,,,,1847,,,,,83427817,268611,,,,
2015-02-09,,123512.53125,,,,46.94719696044922,7.43485164642334,47.30599594116211,7.88053560256958,,,,5773,,,,,80081094,2420690,166962,,,
2015-02-10,,116373.609375,,,,46.947269439697266,7.43487024307251,47.3065185546875,7.880598545074463,,,,4345,,,,,79144831,2224608,193091,,,
2015-02-11,,166259.1875,,,,47.304256439208984,7.878310680389404,47.4288444519043,8.542265892028809,,,,6299,,,,,77014390,3157195,,,,
2015-02-12,,118264.6796875,,,,47.304264068603516,7.8777174949646,47.427669525146484,8.539490699768066,,,,7727,,,,,77154310,3386744,,,,
2015-02-13,,139962.75,,,,47.30426788330078,7.87888765335083,47.430397033691406,8.538393020629883,,,,6825,,,,,79886242,3122875,,,,
2015-02-14,,72917.9140625,,,,47.216976165771484,7.773183822631836,47.306514739990234,7.90416145324707,,,,1170,,,,,82530553,441530,,,,
2015-02-15,,107.74913024902344,,,,47.304264068603516,7.879907608032227,47.304405212402344,7.880107402801514,,,,270,,,,,86400000,,,,,
2015-02-16,,136310.8125,,,,47.30424499511719,7.877504348754883,47.434669494628906,8.539515495300293,,,,6454,,,,,78455025,2892538,,,,
2015-02-17,,159463.234375,,,,47.30424118041992,7.87713098526001,47.436622619628906,8.539576530456543,,,,6616,,,,,77156024,2618982,,,,
2015-02-18,,111653.6640625,,,,46.947296142578125,7.4347825050354,47.306087493896484,7.880747318267822,,,,6978,,,,,78164029,2629819,304421,,,
2015-02-19,,279652.53125,,,,46.94723892211914,7.434868335723877,47.31298828125,7.930731296539307,,,,6728,,,,,76271472,3146775,,,,
2015-02-20,,157859.46875,,,,46.94780731201172,7.434882164001465,47.3934440612793,8.061728477478027,,,,6400,,,,,76088664,3330167,,,,
